id,type,question,choices,correct_answer,answer_key,melvin_input
csqa_0000,commonsense_reasoning,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","['ignore', 'enforce', 'authoritarian', 'yell at', 'avoid']",ignore,A,"Question: The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?
Choices: ignore, enforce, authoritarian, yell at, avoid
Answer: ignore"
csqa_0001,commonsense_reasoning,Sammy wanted to go to where the people were.  Where might he go?,"['race track', 'populated areas', 'the desert', 'apartment', 'roadblock']",populated areas,B,"Question: Sammy wanted to go to where the people were.  Where might he go?
Choices: race track, populated areas, the desert, apartment, roadblock
Answer: populated areas"
csqa_0002,commonsense_reasoning,To locate a choker not located in a jewelry box or boutique where would you go?,"['jewelry store', 'neck', 'jewlery box', 'jewelry box', 'boutique']",jewelry store,A,"Question: To locate a choker not located in a jewelry box or boutique where would you go?
Choices: jewelry store, neck, jewlery box, jewelry box, boutique
Answer: jewelry store"
csqa_0003,commonsense_reasoning,Google Maps and other highway and street GPS services have replaced what?,"['united states', 'mexico', 'countryside', 'atlas', 'oceans']",atlas,D,"Question: Google Maps and other highway and street GPS services have replaced what?
Choices: united states, mexico, countryside, atlas, oceans
Answer: atlas"
csqa_0004,commonsense_reasoning,"The fox walked from the city into the forest, what was it looking for?","['pretty flowers.', 'hen house', 'natural habitat', 'storybook', 'dense forest']",natural habitat,C,"Question: The fox walked from the city into the forest, what was it looking for?
Choices: pretty flowers., hen house, natural habitat, storybook, dense forest
Answer: natural habitat"
csqa_0005,commonsense_reasoning,What home entertainment equipment requires cable?,"['radio shack', 'substation', 'cabinet', 'television', 'desk']",television,D,"Question: What home entertainment equipment requires cable?
Choices: radio shack, substation, cabinet, television, desk
Answer: television"
csqa_0006,commonsense_reasoning,"The only baggage the woman checked was a drawstring bag, where was she heading with it?","['garbage can', 'military', 'jewelry store', 'safe', 'airport']",airport,E,"Question: The only baggage the woman checked was a drawstring bag, where was she heading with it?
Choices: garbage can, military, jewelry store, safe, airport
Answer: airport"
csqa_0007,commonsense_reasoning,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","['carpet', 'refrigerator', 'breadbox', 'fridge', 'coach']",refrigerator,B,"Question: The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?
Choices: carpet, refrigerator, breadbox, fridge, coach
Answer: refrigerator"
csqa_0008,commonsense_reasoning,What do people use to absorb extra ink from a fountain pen?,"['shirt pocket', ""calligrapher's hand"", 'inkwell', 'desk drawer', 'blotter']",blotter,E,"Question: What do people use to absorb extra ink from a fountain pen?
Choices: shirt pocket, calligrapher's hand, inkwell, desk drawer, blotter
Answer: blotter"
csqa_0009,commonsense_reasoning,Where is a business restaurant likely to be located?,"['town', 'at hotel', 'mall', 'business sector', 'yellow pages']",business sector,D,"Question: Where is a business restaurant likely to be located?
Choices: town, at hotel, mall, business sector, yellow pages
Answer: business sector"
csqa_0010,commonsense_reasoning,Where do you put your grapes just before checking out?,"['mouth', 'grocery cart', 'super market', 'fruit basket', 'fruit market']",grocery cart,B,"Question: Where do you put your grapes just before checking out?
Choices: mouth, grocery cart, super market, fruit basket, fruit market
Answer: grocery cart"
csqa_0011,commonsense_reasoning,"Before getting a divorce, what did the wife feel who was doing all the work?","['harder', 'anguish', 'bitterness', 'tears', 'sadness']",bitterness,C,"Question: Before getting a divorce, what did the wife feel who was doing all the work?
Choices: harder, anguish, bitterness, tears, sadness
Answer: bitterness"
csqa_0012,commonsense_reasoning,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,"['state park', 'bus depot', 'garden', 'gym', 'rest area']",garden,C,"Question: Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?
Choices: state park, bus depot, garden, gym, rest area
Answer: garden"
csqa_0013,commonsense_reasoning,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,"['loss of heat', 'revenge', 'expansion', 'relaxation', 'calm down']",loss of heat,A,"Question: James was cooling off two quickly.  He would die if he didn't find some way to stop what?
Choices: loss of heat, revenge, expansion, relaxation, calm down
Answer: loss of heat"
csqa_0014,commonsense_reasoning,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","['yard', 'basement', 'kitchen', 'living room', 'garden']",kitchen,C,"Question: Of all the rooms in a house it was his favorite, the aromas always drew him to the what?
Choices: yard, basement, kitchen, living room, garden
Answer: kitchen"
